"withinblocktrial","block","block_repetition","rt","resp","cor","cresp","conf_press","cj","rtconf","coherence","slow_trial","manipulation","sub","age","gender","handedness","X","batch","check1","check2","check3","check4"
3,6,1,1.53308300000003,"['n']",1,"right","['9']",5,1.10051899999985,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
4,6,1,1.04931609999994,"['c']",1,"left","['0']",6,0.73385559999997,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
5,6,1,1.43293879999987,"['c']",1,"left","['0']",6,0.283895399999892,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
6,6,1,1.0991441000001,"['n']",1,"right","['0']",6,0.3837853,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
7,6,1,1.31624349999993,"['n']",1,"right","['0']",6,0.450618500000019,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
8,6,1,0.932301099999904,"['c']",1,"left","['0']",6,0.46715949999998,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
9,6,1,0.982213300000012,"['n']",1,"right","['0']",6,0.300546499999882,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
10,6,1,1.19979610000019,"['c']",1,"left","['0']",6,0.517138800000112,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
11,6,1,1.63349790000007,"['n']",1,"right","['0']",6,0.334417599999824,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
12,6,1,0.832385700000032,"['n']",1,"right","['0']",6,0.317175500000076,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
13,6,1,0.950266200000215,"['n']",1,"right","['0']",6,0.367232800000011,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
14,6,1,1.43325550000009,"['n']",1,"right","['0']",6,0.850490399999899,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
15,6,1,1.28275830000007,"['c']",1,"left","['0']",6,0.250426500000003,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
16,6,1,1.18200390000015,"['n']",1,"right","['0']",6,0.350571299999956,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
17,6,1,0.999501900000041,"['n']",1,"right","['0']",6,0.333835199999839,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
18,6,1,1.11644960000012,"['n']",1,"right","['0']",6,0.400514500000099,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
19,6,1,1.48308580000003,"['n']",0,"left","['8']",4,1.13387349999994,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
20,6,1,1.46638039999993,"['c']",1,"left","['0']",6,0.400493800000049,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
21,6,1,1.23293280000007,"['n']",1,"right","['9']",5,0.467102299999851,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
22,6,1,0.732664200000045,"['n']",1,"right","['0']",6,0.45045970000001,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
23,6,1,1.68224699999996,"['c']",1,"left","['0']",6,0.283840099999907,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
